clave,es
COMPA_EN_MEDIO,El de la mesa de en medio
COMPA_EN_MEDIO_1,¿Yo? De aquí. De la casa.
COMPA_EN_MEDIO_2,"Llevo más que el jefe. Que el anterior, también."
COMPA_EN_MEDIO_3,Nadie me ha dicho nunca de qué departamento soy. Yo tampoco pregunto.
COMPA_FIELATO,El del fielato
COMPA_FIELATO_1,"Yo estuve veinte años en el fielato. Cobrando el peaje, ahí parado."
COMPA_FIELATO_2,"Pinto. Selvas, sobre todo. No he visto ninguna."
COMPA_FIELATO_3,"Si le cuento lo que sueño, no me cree."
COMPA_JUBILACION,La que se jubila
COMPA_JUBILACION_1,Me quedan tres semanas. Ya no cojo nada nuevo.
COMPA_JUBILACION_2,Sé dónde está todo. Ya no es mi problema.
COMPA_JUBILACION_3,El truco de los últimos años es no aprender nada.
COMPA_RIEGOS,El de Riegos
COMPA_RIEGOS_1,"Yo vengo del Departamento de Riegos. Sí, de aquí. Lo cerraron."
COMPA_RIEGOS_2,Treinta años en esta mesa. Nadie me ha preguntado nunca qué hago.
COMPA_RIEGOS_3,Las cosas importantes pasan lejos y tarde. Uno se entera por el archivo.
COMPA_TELEFONO,El del teléfono
COMPA_TELEFONO_1,"…sí… sí… no, si yo lo entiendo…"
COMPA_TELEFONO_2,Llevo desde las nueve. No contestan.
COMPA_TELEFONO_3,"Un momento, que me tienen en espera desde ayer."
CUNADO_DERROTA_1,Es que se lo has puesto muy fácil.
CUNADO_DERROTA_2,"Bueno. Tampoco es para tanto. A ver, sí lo es."
CUNADO_DERROTA_3,Yo de ti no volvía a intentarlo hasta el jueves.
CUNADO_DERROTA_4,¿Ves? Por ir de frente.
CUNADO_EMPATE_1,Esto puede durar años. Literalmente. Yo he visto uno de nueve.
CUNADO_EMPATE_2,"Mira, así por lo menos no consta nada."
CUNADO_EMPATE_3,¿Bajamos luego a por café? Digo cuando acabe esto.
CUNADO_GANA_1,"Suerte. Una vez, ¿eh? Pero suerte."
CUNADO_GANA_2,Eso yo lo hacía todos los días antes de que lo digitalizaran.
CUNADO_GANA_3,"Claro, es que le has pillado con el turno cambiado."
CUNADO_GANA_4,"Bien, bien. Aunque yo habría ido por lo civil."
CUNADO_HABILIDAD_1,"Eso lo quitaron en la reforma. Bueno, o lo pusieron. Alguna de las dos."
CUNADO_HABILIDAD_2,¿Y eso se puede? Yo pregunto.
CUNADO_HABILIDAD_3,"Anda, si funciona. Pues nada."
CUNADO_LLEGADA_1,¿Es el careo? Uy. A ese yo no le habría acusado un lunes.
CUNADO_LLEGADA_2,Espera que me traigo la silla.
CUNADO_LLEGADA_3,"Yo tuve uno igual en el 96. Bueno, igual no. Parecido."
CUNADO_LLEGADA_4,"¿Has puesto el asunto en mayúsculas? Es que si no, no consta."
CUNADO_LLEGADA_5,"Yo esto lo veo desde aquí, que si me ven implicado me toca declarar."
CUNADO_PIERDE_1,Uy. Eso te lo iba a decir.
CUNADO_PIERDE_2,Ya. Es que ahí tenías que haber hecho lo otro.
CUNADO_PIERDE_3,"A mí me pasó igual. Bueno, a mí no, a uno de contabilidad."
CUNADO_PIERDE_4,"No pasa nada, hombre. Bueno, sí pasa, pero no pasa nada."
CUNADO_PIERDE_5,Es que has ido de frente. Con estos nunca de frente.
CUNADO_VICTORIA_1,"Bueno, bueno. Ya te vale, ya."
CUNADO_VICTORIA_2,"Enhorabuena. Ahora te toca el papeleo, que es lo gordo."
CUNADO_VICTORIA_3,"Yo lo habría cerrado el martes, pero oye, cada uno."
DIA_DESPERTAR_DE_GOLPE,"Se despierta de golpe. Día %d, y de esta noche no queda nada."
DIA_DICE,— %s
DIA_EN_EL_PUESTO,Se sienta en su puesto.
DIA_NOMINA,Nómina del día %d: %d (base %d + %d por %d expediente(s)).  Tiene %d.
DIA_NUEVO,Día %d.
DIA_ROTULO,Día %d  ·  %s  ·  %d en el bolsillo%s
DIA_SIN_GATO,  ·  sin gato
DIA_SIN_GATO_AVISO,  El gato no está.
DIA_VIVIR,Vivir cuesta %d. Le quedan %d.%s
ENTRADA_AUDITOR,AUDITOR EN TURNO: {usuario}
ENTRADA_COPIA_INDICES,"Copia parcial. No se restauran los índices; el volumen se monta sin ellos."
ENTRADA_COPIA_INTEGRA,Copia íntegra. Sin incidencias que reseñar.
ENTRADA_COPIA_SECTORES,"Copia con sectores ilegibles. Se restaura lo legible y se continúa."
ENTRADA_COPIA_SIN_CUENTA,"No consta cuántas veces se ha restaurado este volumen. El campo no admite ese número."
ENTRADA_NADIE_MIRA,NINGÚN OTRO USUARIO CONSTA CON ACCESO A ESTE VOLUMEN
ENTRADA_RESTAURANDO,RESTAURANDO COPIA DE SEGURIDAD
ENTRADA_SISTEMA,SIGA-98 · SISTEMA INTEGRAL DE GESTIÓN DE ARCHIVO
ENTRADA_VOZ_SOLO,"Lo que haga aquí no lo revisa nadie. Tampoco lo revisó nadie antes."
ENTRADA_VOZ_TURNO,"Acreditación vigente. Fecha de alta anterior a la contratación; el sistema no señala el desajuste."
ENTRADA_VOZ_VOLUMEN,"Volumen montado en modo lectura y escritura. Última salida limpia: no consta."
FICHA_COMITE,COMITÉ
FICHA_PERSONA,PERSONA
FICHA_RECLAMANTE,[b]%s[/b]   ·   %s\n\n%s
HABILIDAD_ASAMBLEA,Asamblea
HABILIDAD_ASAMBLEA_EFECTO,"Esta ronda, el empate también golpea al rival."
HABILIDAD_COMISION,Comisión de seguimiento
HABILIDAD_COMISION_EFECTO,Revela la réplica que viene.
HABILIDAD_EXTERNALIZAR,Externalizar
HABILIDAD_EXTERNALIZAR_EFECTO,"Esta ronda el daño cuenta doble, gane quien gane."
HABILIDAD_MESA,Mesa de diálogo
HABILIDAD_MESA_EFECTO,Esta ronda nadie pierde vida.
OFICIO_ATAQUE_1,Vengo por lo del expediente.
OFICIO_ATAQUE_2,Me dijeron que preguntara aquí.
OFICIO_ATAQUE_3,Llevo desde las siete.
OFICIO_ATAQUE_4,¿Es esta la ventanilla?
OFICIO_NOMBRE,Reclamante sin expediente asignado
OFICIO_RESUMEN,Se presenta cada mañana. No consta quién es ni qué reclama; el sistema le asigna un turno igualmente.
PUESTO_LEVANTARSE,Levantarse del puesto
SALIDA_DESPERTAR,Despertar
SALIDA_DORMIR,Dormir
SALIDA_OFICINA,Salida
SALIDA_PORTAL,Portal
SALIDA_PUESTO,Su puesto
SIN_FECHA_CORTA,s/f
SITIO_CALLE,De vuelta a casa
SITIO_CASA,Casa
SITIO_OFICINA,"SIGA — Archivo, planta 4"
SUENO_ROTULO,…
TAROT_ROTULO,{carta}
TAROT_SIN_NOMBRE,Una carta sin nombre
TAROT_VOZ,"Estaba dentro del expediente, escrita como si nada."
VENTANILLA_ADELANTA,La comisión adelanta que la próxima réplica será: %s.
VENTANILLA_ATENDIDA,RECLAMACIÓN ATENDIDA. Racha: %d.
VENTANILLA_HABILIDAD,%s (%d)
VENTANILLA_LLAME,Llame al siguiente turno.
VENTANILLA_MARCADOR,Racha: %d        Mejor marca: %d
VENTANILLA_NADIE,[i]Nadie en el mostrador.[/i]
VENTANILLA_NO_ATENDIDA,RECLAMACIÓN NO ATENDIDA. La racha vuelve a cero.
VENTANILLA_SE_PRESENTA,%s se presenta en el mostrador.
VENTANILLA_SIGUIENTE,Llamar al siguiente turno
VENTANILLA_TITULO,SIGA-98  —  VENTANILLA DE RECLAMACIONES
VEREDICTO_EMPATE,ninguno cede
VEREDICTO_JUGADOR,se impone su objeción
VEREDICTO_RIVAL,se impone el mostrador
VISOR_BARRA_TITULO,SIGA-98  —  Sistema Integral de Gestión Administrativa   [Expediente %s]
VISOR_CABECERA,Folio %s   ·   %s   ·   %s
VISOR_CARTA,Carta localizada: %s
VISOR_CERRADO,EXPEDIENTE CERRADO. %s%s
VISOR_CONCEPTO,Concepto: %s
VISOR_DOCUMENTOS,Documentos del expediente:
VISOR_ELIJA,Elija un documento del expediente.
VISOR_ESTADO,"%s   ·   Pistas: %d de %d   ·   Día %d, %d acción(es)%s"
VISOR_IMPUTAR,Imputar responsabilidad…
VISOR_ITEM,%s  %s
VISOR_PARTIDA_APARTADA,"PARTIDA ANTERIOR ILEGIBLE (%s), APARTADA EN %s"
VISOR_PRECIPITADA,  ·  ACUSACIÓN PRECIPITADA: consta en su hoja de servicio.
VISOR_REASIGNADO,"  ·  CESE POR ACUMULACIÓN: se le reasigna. Otra persona ocupará su puesto."
VISOR_RESUELTO,   ·   EXPEDIENTE RESUELTO
VISOR_SIN_FECHA,sin fecha de registro
VISOR_SIN_JORNADA,SE ACABÓ LA JORNADA. Fiche la salida.
VOZ_CUNADO,— %s
ARCHIVO_TITULO,EXPEDIENTES
ARCHIVO_ITEM,%s %d/%d · %s
ARCHIVO_SELLADO,■
ARCHIVO_ABIERTO,□
ARCHIVO_CONFIDENCIAL,"CONFIDENCIAL · "
ARCHIVO_YA_FIRMADO,ESTE EXPEDIENTE YA TIENE VEREDICTO FIRME.
ARCHIVO_ERROR_GUARDAR,NO SE PUDO GUARDAR LA PARTIDA
CASO_1_TITULO,El cierre de caja de 1999
CASO_2_TITULO,El trámite de la silla 4-B
CASO_3_TITULO,Traspaso de personal: expediente de E. Montalvo
CASO_4_TITULO,Contrato de fin de año con Carcosa Servicios Escénicos
CASO_5_TITULO,El expediente MEMO-1978-014 (y 1993, y 2007)
CASO_6_TITULO,Acta constitutiva de la empresa (versión no circulada)
CASO_7_TITULO,El expediente de la herencia Karamázov
CASO_8_TITULO,El expediente del empleado #427
